loss,accuracy,val_loss,val_accuracy,lr
0.27309125661849976,0.9989457130432129,0.01791233941912651,0.9990791082382202,0.001
0.047923166304826736,0.998948872089386,0.05748743563890457,0.9990791082382202,0.001
0.06576795876026154,0.998948872089386,0.04840639978647232,0.9990791082382202,0.001
0.042484182864427567,0.998948872089386,0.022825974971055984,0.9990791082382202,0.001
0.017221542075276375,0.998948872089386,0.009609880857169628,0.9990791082382202,0.001
0.014250107109546661,0.998948872089386,0.011210489086806774,0.9990791082382202,0.001
0.011231547221541405,0.998948872089386,0.010362997651100159,0.9990791082382202,0.001
0.011400185525417328,0.998948872089386,0.009367864578962326,0.9990791082382202,0.001
0.010021333582699299,0.998948872089386,0.008713393472135067,0.9990791082382202,0.001
0.009463373571634293,0.998948872089386,0.008130989037454128,0.9990791082382202,0.001
