                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2631,                 5.2511,                 1.7084,                0.00196,                0.49333,                0.00214,                0.00077,                 1.8015,                 4.6845,                 1.4441,                 0.0003,                 0.0003,                 0.0003
                      1,                 2.1979,                 4.6431,                 1.4737,                0.00302,                   0.76,                0.00468,                 0.0021,                 1.7966,                  4.603,                 1.3045,              0.0004154,              0.0004154,              0.0004154
                      2,                 1.9542,                 3.8147,                  1.383,                0.00333,                   0.84,                0.00547,                0.00283,                 1.6186,                  4.317,                 1.2091,              0.0003196,              0.0003196,              0.0003196
