                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2631,                 5.2511,                 1.7084,                0.00196,                0.49333,                0.00214,                0.00077,                 1.8015,                 4.6845,                 1.4441,                 0.0003,                 0.0003,                 0.0003
                      1,                 2.2044,                 4.6357,                 1.4734,                0.00307,                0.77333,                0.00466,                0.00223,                 1.8903,                 4.5911,                 1.3088,             0.00049724,             0.00049724,             0.00049724
                      2,                 1.8891,                 3.6549,                 1.3414,                0.00344,                0.86667,                0.05477,                 0.0267,                 1.6348,                 4.1827,                 1.2016,             0.00056776,             0.00056776,             0.00056776
                      3,                  1.767,                 3.2033,                  1.326,                 0.0037,                0.93333,                0.00699,                0.00347,                 1.4753,                 3.9065,                 1.1555,             0.00051156,             0.00051156,             0.00051156
                      4,                 1.5408,                 3.1027,                 1.2369,                0.00376,                0.94667,                0.00755,                 0.0039,                 1.4446,                 3.7385,                  1.151,             0.00032864,             0.00032864,             0.00032864
