epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7659,2.06989,5.31033,1.62939,0.00116,0.29333,0.00085,0.00032,1.89751,4.74204,1.56166,0.0003,0.0003,0.0003
2,47.5148,1.91924,4.42607,1.44445,0.0028,0.70667,0.00528,0.00211,1.65528,4.36997,1.33162,0.0004154,0.0004154,0.0004154
3,72.1836,1.85346,3.85778,1.36505,0.00323,0.81333,0.00627,0.00262,1.57741,4.17404,1.25111,0.0003196,0.0003196,0.0003196
